label,sentence
extremely joyful,Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;)
extremely joyful,@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the #laughter
extremely joyful,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday 
extremely joyful,@WSJNordics You make the world a more joyful place. #TheNiceBot
extremely joyful,Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:)
extremely joyful,|@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  |
extremely joyful,It's the #FirstDayofFall and I'm so happy. Sipping my #PumpkinSpice flavored coffee and #smiling! Happy Fall everyone! #amwriting
extremely joyful,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice
extremely joyful,@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again)
extremely joyful,LOVE LOVE LOVE  #fun #relaxationiskey
extremely joyful,|This is the day You've made, \n\nLet us rehoi rejoice and be glad with all that I am. \n\nðŸ˜ŠðŸ’–\n\n#aja \nGood morning!!!!|
extremely joyful,I #love to #laugh and share #laughter as way to share #joy
extremely joyful,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL #cheering
extremely joyful,I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend
extremely joyful,the thought of you gets me through my day. the thought of your smile never fails at making me smile ðŸ’š
extremely joyful,|Today I reached 1000 subscribers on YT!! #happy, #goodday, #thankful|
extremely joyful,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious
extremely joyful,@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you â¤ï¸
extremely joyful,@shwood @mpforstein OMD you 2 are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/MichaelðŸ˜€
extremely joyful,|@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  ðŸ¤—ðŸ˜|
extremely joyful,@ContourCosmetic well done ladies! A great award for an amazing team. A delight to present the award to you.
extremely joyful,Vals always smiling I love it #gbbo
extremely joyful,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym #cheer #tumbling
extremely joyful,I love how cheery and adoring @JackHoward gets every time he produces new content.
extremely joyful,Good morning joyful people. Choose happiness to have a great day today #morning #joyful #happiness #grandmercurejktkemayoran
extremely joyful,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed 
extremely joyful,|Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake|
extremely joyful,Thank you @twitter for the balloons today. #smile #goodday #48
extremely joyful,Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n#tears #laughter #moretears
extremely joyful,Today is the first time any math professor let us live early before the class time !!! #15 min #feelsgood #happy #wednesday #
extremely joyful,Food that gets delivered ðŸ˜ðŸ™ŒðŸ» #cheering #happy
extremely joyful,You know you're in love when all you can do is smile whenever you talk about how he is to someone.
extremely joyful,What a #lively #lovely #shower ðŸ˜‡ ..
extremely joyful,|What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun #laughter|
extremely joyful,@EmmyMitchell_  hahahaha you're ridiculous!!! But thank you a joyous evening xx
extremely joyful,I am so happy I have come across @HilltopBindery notebooks! #handmade would love to talk to you! #musthave #want #need #happy #amazing ðŸ“–ðŸ–‹
extremely joyful,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL 
extremely joyful,Made my night that @GordonReid91 Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray
extremely joyful,|By the way, I'm wearing the smile you gave me today. \n #you #me |
extremely joyful,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme
extremely joyful,|@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.|
extremely joyful,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! 
extremely joyful,|@MrHenvin Thank you, happy birthday to you as well!|
extremely joyful,|I really love the customer service @LifeProof they're always so nice, helpful and cheerful !|
extremely joyful,|@ChrisBooker @ThePerezHilton On PHP54  and though the Kardashian stuff goes over my head, you're both hilarious, like gleeful little boys ðŸ˜‚ðŸ˜‚|
extremely joyful,|@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty|
extremely joyful,|May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah MubarakðŸ˜‡ , good morningâ˜• @WaseemBadami|
extremely joyful,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! 
extremely joyful,It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda ðŸ˜‚ðŸ˜‚ðŸ˜‚
extremely joyful,Happy Birthday @Brooke56_56  #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer
extremely joyful,TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot
extremely joyful,|A #smile brightens your day and the day of everyone around you, so remember to #smile, it's #free. :-)|
extremely joyful,I'm watching joyful noise for 100000000 time cuz I love this movie and @KekePalmer
extremely joyful,|Indian time it's already ur birthday @akshaymarwah22. Have a stupendous birthday. Wish you more success, laughter and lots of love. Hugs. x|
extremely joyful,|now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay|
extremely joyful,|#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark|
extremely joyful,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym  #tumbling
extremely joyful,@jadelalaa_ hahaha and u da best bro ever luv u hearty hearts
extremely joyful,@morgannbroom yes â¤ï¸â¤ï¸ &amp; cheering homecoming game!
extremely joyful,I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! #Ø§Ù„ÙŠÙˆÙ…_Ø§Ù„ÙˆØ·Ù†ÙŠ
extremely joyful,@JackAndJack I'm so lively for listenðŸ’—ðŸ˜€
extremely joyful,@Nick_Offerman I'll be there!! Can't wait for all the !
extremely joyful,@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs ðŸ¤—
extremely joyful,@ahtareen1 @ReginalAleman @krelifa @zamansj64 @AwiexaB Very pleasing ty!
extremely joyful,@Zerfash â€” can't wait.' She said cheerfully and grinned.
extremely joyful,@madisenrb she's so sweet &amp; playful ðŸ˜
extremely joyful,|Good morning, Trondheim! #optimism #productivity â›…ï¸â¤ï¸ðŸ‡³ðŸ‡´ðŸ¢ðŸ’»ðŸ–¥ðŸ‹ðŸ»ðŸ’ªðŸ¼ðŸ“ºðŸ¿|
extremely joyful,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious
extremely joyful,having a pet store worker ask 'do you want to play with them?' is the most exhilarating feeling
extremely joyful,@yoshi_lucky Good morning.Let's start with a smile!\nLet's enjoy life in a cheerful way!\nDon't worry be happy!
extremely joyful,Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious #missyou
extremely joyful,@Jen_Lee @mostlymartha @edotwoods we just found thin mints in a freezer clean. i couldn't be more elated.
extremely joyful,@Myahrissavietta I'm cheery now ðŸ˜˜ðŸ˜‰
extremely joyful,Probably the best OT period I've ever seen. Absolutely exhilarating. #WCH2016 #TeamNA
extremely joyful,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is ðŸ˜‚ #HereWeGo
extremely joyful,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness  #happyme
extremely joyful,|@followAdamA looking back on recent tweets seen, this one right here is great #perfect #hilarious #Speechless #deal|
extremely joyful,I found #marmite in Australia. `:) #happy
extremely joyful,@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!
extremely joyful,|Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake|
extremely joyful,|I love seeing happy women, that glow is something real.|
extremely joyful,Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch ðŸ™ˆ soo cute ðŸº
extremely joyful,|North America vs Sweden is the most exhilarating hockey I've ever watched ðŸ˜… wow , mackinonns mitts are silky #TeamNA #WCH2016|
extremely joyful,Just had #efficient #great #smiling service @AppleBelgique store. Impressive team of geniuses ready to redefine what customer service is!
extremely joyful,|By the way, I'm wearing the smile you gave me today. \n#you #me #smile|
extremely joyful,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife  #love #hardworkpaysoff #fun
extremely joyful,You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo
extremely joyful,|Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership|
extremely joyful,|What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun |
extremely joyful,LOVE LOVE LOVE #smile #fun #relaxationiskey
extremely joyful,@Matalan when the lady in Xmas dept answers your call as 'hello mrs Xmas' yep true story #winning #Xmas #cheer #goodcustomerservice â¤ ðŸ“žðŸ‘ðŸ˜Š
extremely joyful,Happy birthday @iRidhiDogra keep smiling always.Wishing you a wonderful year ahead mam
extremely joyful,|Good night, Twitter world! Wish you all good sleep / productive jovial days! :)|
extremely joyful,@RobRiggle @joelmchale @NFLonFOX I still can't get jimmy garoppolo out of my head and it's been almost 3 weeks. Thanks a lot! #hilarious
extremely joyful,My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday #hilarious #funny #laughing #happy
extremely joyful,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! 
extremely joyful,@stackee Charlie attempted to suffocate me with a cushion for cheering so much at the great news ðŸ˜‚ðŸ˜‚
extremely joyful,@clonmacart I'm beaming with glee.
extremely joyful,Smile at people and see what happens.  I think you'll be surprised #smile more #surprisepeople #influenceinternational
extremely joyful,|Something about these cool, breezy fall days.. ðŸ˜ðŸ‚ðŸŒ¾ðŸ|
extremely joyful,Food that gets delivered ðŸ˜ðŸ™ŒðŸ»  
extremely joyful,@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx
extremely joyful,|I am a simple human being who just really loves @aliciakeys like truly, madly, deeply rejoicing in her existence, class and queendom|
extremely joyful,|I just really enjoy bright colors, like the colors you would see downtown Miami|
extremely joyful,|Thanks for making our Mass with Fr. Vallely respectful, meaningful, and joyful @ACSSCrusader @AssumptionHCDSB ! #SeeWithEyesOfMercy|
extremely joyful,Good morning joyful people. Choose happiness to have a great day today #morning  #happiness #grandmercurejktkemayoran
extremely joyful,@LiamJamesVernon love the optimism!! BLUE MOON!
extremely joyful,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight
extremely joyful,@RealestCastiel just sitting close to him for an extended period of time was exhilarating because he's so beautiful and lively lol
extremely joyful,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #Ø§Ù„Ø®ÙØ¬ÙŠ
extremely joyful,@PriiiincesssE thanks for distracting me from my paper to watch this hilarious video ðŸ˜‚
extremely joyful,@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the 
extremely joyful,@LindseySanford @simplymeasured this makes me giggle with glee!
extremely joyful,Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration #happy
extremely joyful,Be #happy. Be #bright. Be YOU :) #identity #TimelessTips #friendship #family #forest #water #family #TrueLove #God #RoadSoFar #you #LifeTrip
extremely joyful,|When you wake up from a dream laughing at something stupid, and that makes you laugh more |
extremely joyful,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol 
extremely joyful,Zephaniah 3:17 He surely is rejoicing over us with singing...such romance and so needed today!!
extremely joyful,@imDevinLopez happy bday bro! ðŸ‘ŒðŸ»
extremely joyful,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday #smile
extremely joyful,|Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing|
extremely joyful,Riggs dumb ass hell lolol #hilarious #LethalWeapon
extremely joyful,|â€œBe #positive, #cheerful, #grateful and expectant.â€ @NightingaleEarl  #Success #Leadership|
extremely joyful,|We are elated to have @lisavol, Sid Espinosa and @dyuliharris, ready to inspire innovative students!!  @knightfdn @MicrosoftSV @JessicaWeare|
extremely joyful,@Norn_IronMaiden @forest_fr1ends It's hilarious
extremely joyful,|It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol |
extremely joyful,#ukedchat A4 Just go outside (or to the gym hall) and play! \n #education  #learning
extremely joyful,|And by the way, Takeru's eyes sparkling while eating was like the cutest thing ever.|
extremely joyful,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy 
extremely joyful,@JamieNicks_ it makes complete sense and i'm elated to hear this :]
extremely joyful,@liamch88 yeah! :) playing well 
extremely joyful,@Olajide_Shutti lmaoo. It will be a joyful day.
extremely joyful,Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it
extremely joyful,Day 3 of #harvest16 - listening to the sound of the chopper working it's way closer to home at @mountaindairy makes me #happy. #farm365
extremely joyful,@dressenn @amerson6562 @RosaTrunk @iam_spl_ @michaelk487 @Silau25 \nGAðŸ™‹ Have a joyful day
extremely joyful,Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating
extremely joyful,What an exhilarating last minute of overtime #WCH2016
extremely joyful,Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:
extremely joyful,|Ooh #hygge, candles, jasmine tea &amp; #GBBO |
extremely joyful,.@Travelanswerman: When U ride on a pile of salt life is extra sweet! Always salty always savory! #surfing #aloha #smiling â€¦
extremely joyful,It's a beautiful day today. Cloudy but sunny and breezy.
fairly joyful,@jimadair3 Guitar shop owners everywhere rejoice
fairly joyful,A joyous first webiversary/web mitzvah to Smithsonian's @WeiPoints!! @brianwolly @jackie_mansky @bethpylieberman @bilbo @mazeltov
fairly joyful,@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears #laughter
fairly joyful,Look forward to the detours because they bring delightful surprises. #lifequote 
fairly joyful,|@followAdamA looking back on recent tweets seen, this one right here is great #perfect  #Speechless #deal|
fairly joyful,Getting cable hooked up in new place just in time for @NBCChicagoPD and @NBCChicagoMed premiers is like God smiling down on me. #OneChicago
fairly joyful,|@mediacrooks @thenewshour @LodhiMaleeha @ndtv @IndiaToday This is hilarious ! Not a Freudian slip, eh !|
fairly joyful,Watch this amazing live.ly broadcast by @izzybuzy365  #musically
fairly joyful,My siblings look all gangster &amp; I look all cheery ðŸ˜…ðŸ˜‚
fairly joyful,@sidviyer uff!! Look at your Arsenal fans cheering for every goal against United. haha
fairly joyful,|@HytheHighborne -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --|
fairly joyful,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done #smiling
fairly joyful,|If you have the ability to make someone happy or to make someone #smile, do it! The world needs more of that right about now. #CreateLove â˜ºï¸|
fairly joyful,|@BlueJayHunter I'm fine on the near future, I just want to go to bed super elated and put together audio compilations of great moments.|
fairly joyful,Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning... #glee #books #reading
fairly joyful,|if you ain't watching Sugarboy on Hulu, then you ain't shit. #hilarious hahaha|
fairly joyful,@TampaBayRay I cried with laughter.
fairly joyful,|I'm due for a big change! I've prayed on it, I think I deserve it #positivity #optimism|
fairly joyful,@R1Breakfast Totes had to re-listen to the endless hilarity that was Tom Odell's 'raaar' this morning ðŸ˜‚ðŸ˜‚ðŸ˜‚ @grimmers @fionaradio @TinaDaheley
fairly joyful,|It's finally raining in Ashland, Oregon. We've been parched all summer &amp; fall. The plants &amp; people are rejoicing!|
fairly joyful,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor #exhilarating #NYCletsgo
fairly joyful,@reinervshunter you got thisï’™ #staystrong #smile #yourebeautiful
fairly joyful,It's Thursday which means it's Grey's day #TGIT 
fairly joyful,Watch this amazing live.ly broadcast by @brooke_bridges  #musically
fairly joyful,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman
fairly joyful,I am always ready to #smile.
fairly joyful,|Riding at night has got to be one of the most exhilarating, refreshing things I have ever done.|
fairly joyful,|Lmboo , using my nephew for meme #hilarious|
fairly joyful,@sszmata @PKessel81 Blew up the Internet with his chirp. Lol. Love it.
fairly joyful,Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL
fairly joyful,|I like talking to someone who makes me laugh, laughter is the best medicine|
fairly joyful,|Lmboo , using my nephew for meme |
fairly joyful,|Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you #happy #independent|
fairly joyful,Watch this amazing live.ly broadcast by @katyy.mae #lively #musically
fairly joyful,|#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment â€¦|
fairly joyful,Bunk ur classðŸ“š at least once in your life time cuz later when u look back good marks will not make u happy but memoriesðŸ˜Š will'    -APJ
fairly joyful,|@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. #hilarious|
fairly joyful,Am I watching #BacheloretteAU or Zoolander ? #hilarious #samvrhys
fairly joyful,@scdesc Yup. And Val basically ignoring the recipe. I'm just done. I keep bursting into laughter x
fairly joyful,|Be happy not because everything is good, but because you can see the good side of everything  #optimism|
fairly joyful,the fact everyone is selling their kanye tickets or are buying them for less than $50 is unbelievably hilarious to me
fairly joyful,@bradshawjp Sweet! 
fairly joyful,|He showed us a really lively performance, with a lot of different emotions, not just sticking to one. And that's freaking awesome.|
fairly joyful,@Nick_Offerman I'll be there!! Can't wait for all the #mirth!
fairly joyful,Icon is pochama.\nHe is very cute and easily elated.
fairly joyful,@crimpoop my adorable and cheerful daughter\nAlways pouring positivity green goo on me\ndare hurt her and you'll see hell //growls\n\n#PandaBot
fairly joyful,Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY
fairly joyful,@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE
fairly joyful,The neighbor dancing in the Clayton Homes commercial is me. #hilarious
fairly joyful,All in all a pleasing night down The Lane .  .  .  On to the next round &amp; bring on Liverpool at Anfield! #COYS
fairly joyful,@AlbertBreer @jetswhispers Be sure and switch it over to cable news - cheery
fairly joyful,|If you simply act out of kindness, strength, and optimism, today will be the best day ever! @Tarleton_KINE @DrKaylaPeak @jssimpson9|
fairly joyful,@beingbrilliant @johnmurrays you're welcome. It's genuinely made me give my head a wobble and realise what's important in life.  #smiling
fairly joyful,@liamch88 yeah! :) playing well #optimism
fairly joyful,Why have I only just started watching glee this week I am now addicted ðŸ™„ #glee #GLEEK
fairly joyful,@RealKyper @NHL watching the jubilant scrum at the end of the day and remembering they're all still kids! #priceless
fairly joyful,chirp chirp! what a beautiful white and red bird! ðŸ¦
fairly joyful,15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga #smile #stretch
fairly joyful,@sydneyswans #cheer #cheer the #red and #white we are now off to #grand final to #win the #fight. Thanks @JetstarAirways
fairly joyful,|It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #lol  #punny|
fairly joyful,Watch this amazing live.ly broadcast by @iamjustinburke #lively #musically
fairly joyful,|@deadlyjokester *she let out a playful gasp and slowly wrapped her arms around his neck, kissing him back*|
fairly joyful,|The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.|
fairly joyful,|Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat|
fairly joyful,Omg I'm outside making beats with garageband and some little birds  decided to chirp along ï¼ˆâ‰§âˆ‡â‰¦ï¼‰
fairly joyful,Go follow me on Musically @budderlordk1ng I am making a lively. Come and join BFFing and Following ;) See you there!
fairly joyful,@adamrodricks I like your optimism!
fairly joyful,Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love
fairly joyful,|God just replaced my sadness with laughter, can't go the whole day sad ...|
fairly joyful,A hearty welcome to those who followed me.
fairly joyful,In ever use to like smiling until I realized how good my teeth look ... Witout the braces
fairly joyful,@saraandgreg @Airbnb Another happy customer.  #secreteyes
fairly joyful,I just heard the most incredibly transcendent song ever &amp; now I feel high &amp; fucked up yet joyful &amp; I will never be the same
fairly joyful,|Elinor,' she laughed so little known, all over every body at the brilliant cheerfulness of sweetmeats and a fashion.|
fairly joyful,Only Geo is capable of cheering me upâ¤ï¸â¤ï¸â¤ï¸
fairly joyful,@MericanMainer AWW. I had a Maine Coon when I was little named Ted Eddy the Wonder Cat. They're such good cats! Very playful and sweet
fairly joyful,Make someone happy ^_^
fairly joyful,What if.... the Metro LRT went over the Walterdale?!?! ðŸ˜‚ #yeg 
fairly joyful,Go follow #beautiful #Snowgang â™¥@Amynicolehill12 â™¥ #Princess #fitness #bodyposi #haircut #smile #Whitegirlwednesday
fairly joyful,felt a bit shit getting a very high blood sugar then i remembered it's my first one above 15 this week which is incredible for me! #happy
fairly joyful,@TheeCurrentYear @Sargon_of_Akkad this is too much hilarity for one day
fairly joyful,|Being a veteran just totally got me out of a ticket. I'm elated right now, close call.|
fairly joyful,*violently screams at the four winds* WE AINT EVER GETTING OLDER *cute jovial rhythm starts* *moves hips along and waves arms in the air*
fairly joyful,|It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n #funny #pun #punny #lol |
fairly joyful,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done 
fairly joyful,Rojo is so bad it's hilarious.
fairly joyful,|I'm due for a big change! I've prayed on it, I think I deserve it #positivity |
fairly joyful,Watch this amazing live.ly broadcast by @kaylaaa_sartorious #lively #musically
fairly joyful,|.@Harry_Styles I hope you never go a day without something to make you smile. You deserve all good things. Please follow me?\nâ¤ï¸ðŸ’›ðŸ’šðŸ’™ðŸ’œ\n311,553|
fairly joyful,@_stfukohle it's ok champ you'll make it I'm cheering you on from a far
fairly joyful,Rojo is hilarious
fairly joyful,I'm so playful. lol I need somebody that'll joke with me all day long cause ill never get tired of it.
fairly joyful,@LFScott57 Miss Cookie sends her thanks! She's not as spry as she used to be - like me! She doesn't have the adventures the young pups do!
fairly joyful,It's better to be wetter than it is dry' - @RLevin91 certainly found that hilarious #GBBO
fairly joyful,|It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny  #lol|
fairly joyful,|Ooh #hygge, candles, jasmine tea &amp; #GBBO #happy|
fairly joyful,|@my2k aaa Cam animated that, so proud of our boy|
fairly joyful,@safaridjh but it's so aesthetically pleasing omg
fairly joyful,|#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. |
fairly joyful,Peter is aesthetically pleasing to look at
fairly joyful,|Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you  #independent|
fairly joyful,I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious
fairly joyful,@KWAYNTjoia it's exhilarating
fairly joyful,So happy my next class is canceled bc..im od tired ðŸ˜­
fairly joyful,Optimism leads to success. - Bill Kerr @Coach__Kerr #success  #goals
fairly joyful,It's meant to be!!  
fairly joyful,#smile is the #respect we give everyone.
fairly joyful,Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert #happy
fairly joyful,The object of literature is to make man a wiser and happier being. The poet makes us happy because he tells us how we may become so.
fairly joyful,Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*
fairly joyful,@DuncM1981 @pmallon72 At the risk of being blocked I thought that video from the wake was hilarious.
fairly joyful,I want the smoky clouds of laughter to swim about you forever more..
fairly joyful,I'm a cheery ghost.
fairly joyful,Watch this amazing live.ly broadcast by @elise_awsome_11 #lively #musically
fairly joyful,Watch this amazing live.ly broadcast by @footballrocks123456 #lively #musically
fairly joyful,Watch this amazing live.ly broadcast by @maisiev  #musically
fairly joyful,|@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal|
fairly joyful,|@alyankovic I really wish I could attend the show at RCMH. I'm there in spirit, cheering you and the dudes on! :)|
fairly joyful,@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds #hilarious
fairly joyful,Accept the challenges so that you can feel the exhilaration of victory. #FocusX10 #motivation #motivationalquotes #quoteoftheday
fairly joyful,Watch this amazing live.ly broadcast by @flydudern  #musically
fairly joyful,|You know what's great about #GBBO ? Contestants helping each other, cheering each other on. So important.|
fairly joyful,Accept the challenges so that you can feel the exhilaration of victory.
fairly joyful,@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it
